applicant_id,Status,applied_platform,platform_logo_url,company,company_logo_url,job_title,Industry,skills_mentioned,Education,Age Group,Years of Experience,hired,salary_offer_in_inr,Monthly Salary (INR),AI Risk,Location,application_date
A1111,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Ola,https://logo.clearbit.com/olacabs.com,Machine Learning Engineer,Information Technology,"Kubernetes, Communication, CSS",Master's Degree,55+,1,No,,,Low,Noida,01-03-2025
A1112,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Amazon,https://logo.clearbit.com/amazon.com,Business Analyst,Education,"Teamwork, Node.js, Docker, Digital Marketing, Presentation",Diploma,25-34,4,No,,,High,Gurugram,29-10-2024
A1113,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Zomato,https://logo.clearbit.com/zomato.com,Frontend Developer,Manufacturing,"Leadership, Azure, C++, CSS",Bachelor's Degree,55+,7,No,,,Low,Ahmedabad,10-02-2025
A1114,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Wipro,https://logo.clearbit.com/wipro.com,Data Scientist,Marketing,"Docker, Data Visualization, JavaScript",Master's Degree,55+,4,No,,,Moderate,Delhi,10-04-2025
A1115,Intern,Internshala,https://logo.clearbit.com/internshala.com,LTI,https://logo.clearbit.com/lntinfotech.com,Data Scientist,E-commerce,"JavaScript, C++, Azure, Digital Marketing, Python",Bachelor's Degree,55+,7,Yes,1349691,112474,Moderate,Hyderabad,26-09-2025
A1116,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Byjus,https://logo.clearbit.com/byjus.com,HR Executive,Education,"Linux, Teamwork, SEO",Diploma,25-34,5,No,,,Moderate,Delhi,05-11-2024
A1117,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Amazon,https://logo.clearbit.com/amazon.com,Software Engineer,Information Technology,"Kubernetes, Digital Marketing, JavaScript",PhD,25-34,2,Yes,639976,53331,High,Kolkata,09-04-2024
A1118,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Amazon,https://logo.clearbit.com/amazon.com,Data Scientist,Healthcare,"Excel, C++, CSS, HTML, Data Visualization, Power BI",Bachelor's Degree,18-24,1,No,,,Low,Chennai,24-08-2025
A1119,Intern,Indeed,https://logo.clearbit.com/indeed.com,Google,https://logo.clearbit.com/google.com,Finance Analyst,Healthcare,"Docker, SQL, HTML, Excel, AWS, SEO",Diploma,35-44,2,Yes,514923,42910,Moderate,Noida,31-03-2025
A1120,Intern,Internshala,https://logo.clearbit.com/internshala.com,Google,https://logo.clearbit.com/google.com,Business Analyst,Education,"SQL, Tableau, Docker, AWS, JavaScript",High School,45-54,0,No,,,High,Gurugram,10-04-2025
A1121,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Byjus,https://logo.clearbit.com/byjus.com,Data Analyst,Education,"Presentation, Communication, Azure",Bachelor's Degree,35-44,8,No,,,High,Bangalore,08-05-2024
A1122,Intern,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,Sales Executive,Finance,"Teamwork, Azure, Communication, Leadership",High School,55+,8,Yes,448574,37381,Low,Chennai,31-05-2024
A1123,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Dell,https://logo.clearbit.com/dell.com,Machine Learning Engineer,Human Resources,"Data Visualization, Docker, Presentation, Node.js",Diploma,18-24,0,No,,,Moderate,Ahmedabad,22-04-2024
A1124,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Infosys,https://logo.clearbit.com/infosys.com,Business Analyst,Information Technology,"Problem Solving, Communication, Python, Node.js",High School,18-24,0,Yes,649232,54103,Low,Chennai,28-09-2024
A1125,Intern,Naukri,https://logo.clearbit.com/naukri.com,Adobe,https://logo.clearbit.com/adobe.com,Backend Developer,Education,"Digital Marketing, SEO, Leadership",Master's Degree,45-54,7,No,,,Low,Gurugram,05-01-2025
A1126,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Google,https://logo.clearbit.com/google.com,Mobile App Developer,Healthcare,"Git, SQL, CSS, Presentation",PhD,45-54,3,No,,,Low,Noida,17-06-2025
A1127,Intern,Indeed,https://logo.clearbit.com/indeed.com,Infosys,https://logo.clearbit.com/infosys.com,Software Engineer,Finance,"Tableau, Power BI, C++, JavaScript, Digital Marketing, SEO",High School,35-44,0,No,,,Low,Gurugram,16-03-2024
A1128,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Byjus,https://logo.clearbit.com/byjus.com,Machine Learning Engineer,E-commerce,"React, Docker, Git",Master's Degree,35-44,8,No,,,Low,Hyderabad,10-10-2025
A1129,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zoho,https://logo.clearbit.com/zoho.com,Data Scientist,E-commerce,"SEO, Machine Learning, Git, Power BI, JavaScript",PhD,25-34,7,Yes,1422068,118506,Low,Bangalore,27-04-2024
A1130,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Adobe,https://logo.clearbit.com/adobe.com,Mobile App Developer,Manufacturing,"Power BI, Communication, Teamwork, SEO",Diploma,35-44,5,No,,,Moderate,Bangalore,12-02-2025
A1131,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,Zoho,https://logo.clearbit.com/zoho.com,UI/UX Designer,Education,"C++, Docker, Excel, React, Digital Marketing",Diploma,35-44,0,Yes,500606,41717,Moderate,Delhi,09-03-2024
A1132,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Wipro,https://logo.clearbit.com/wipro.com,UI/UX Designer,Information Technology,"CSS, Excel, Presentation",Bachelor's Degree,55+,7,No,,,Moderate,Chennai,13-05-2024
A1133,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,LTI,https://logo.clearbit.com/lntinfotech.com,Quality Analyst,Finance,"Power BI, Excel, C++",Master's Degree,18-24,0,No,,,High,Chennai,09-03-2025
A1134,Intern,Internshala,https://logo.clearbit.com/internshala.com,Byjus,https://logo.clearbit.com/byjus.com,DevOps Engineer,E-commerce,"JavaScript, Problem Solving, Machine Learning, AWS, React",PhD,35-44,2,Yes,961201,80100,Moderate,Gurugram,08-05-2025
A1135,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Ola,https://logo.clearbit.com/olacabs.com,Business Analyst,E-commerce,"Leadership, Docker, Problem Solving",Bachelor's Degree,25-34,5,Yes,795969,66331,Moderate,Mumbai,19-08-2024
A1136,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Byjus,https://logo.clearbit.com/byjus.com,Data Analyst,Finance,"Python, Node.js, Docker, HTML, Leadership",Bachelor's Degree,35-44,4,Yes,514912,42909,High,Chennai,12-11-2024
A1137,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Infosys,https://logo.clearbit.com/infosys.com,Marketing Intern,Healthcare,"Problem Solving, C++, Tableau, Java",Diploma,55+,0,No,,,Low,Kolkata,25-05-2024
A1138,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Swiggy,https://logo.clearbit.com/swiggy.com,Sales Executive,Manufacturing,"Power BI, SEO, Communication, Node.js, Excel, Kubernetes",High School,45-54,8,No,,,Low,Delhi,28-11-2024
A1139,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Wipro,https://logo.clearbit.com/wipro.com,Software Engineer,Human Resources,"Node.js, Leadership, Git, SQL",PhD,55+,3,Yes,679833,56653,Low,Gurugram,24-03-2024
A1140,Employed,Indeed,https://logo.clearbit.com/indeed.com,Adobe,https://logo.clearbit.com/adobe.com,Finance Analyst,Marketing,"Power BI, Docker, AWS, Machine Learning, JavaScript, Excel",Diploma,25-34,0,Yes,565586,47132,Moderate,Hyderabad,16-03-2025
A1141,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,LTI,https://logo.clearbit.com/lntinfotech.com,Finance Analyst,Information Technology,"SQL, Azure, Tableau, Git, Python",Diploma,45-54,3,No,,,Low,Bangalore,28-07-2024
A1142,Intern,Naukri,https://logo.clearbit.com/naukri.com,Amazon,https://logo.clearbit.com/amazon.com,Product Manager,Education,"Communication, JavaScript, Python, Digital Marketing, CSS",High School,18-24,1,No,,,Low,Mumbai,16-03-2025
A1143,Intern,Naukri,https://logo.clearbit.com/naukri.com,HCL,https://logo.clearbit.com/hcltech.com,HR Executive,Human Resources,"Java, Tableau, CSS, SQL, Power BI",Master's Degree,25-34,6,No,,,Moderate,Chennai,20-01-2024
A1144,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Zoho,https://logo.clearbit.com/zoho.com,UI/UX Designer,Manufacturing,"HTML, Linux, Power BI, Kubernetes, JavaScript, Tableau",Master's Degree,25-34,4,No,,,Moderate,Gurugram,22-01-2024
A1145,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Byjus,https://logo.clearbit.com/byjus.com,Mobile App Developer,Education,"Java, Power BI, JavaScript, Azure, Problem Solving",PhD,35-44,7,No,,,High,Mumbai,14-02-2025
A1146,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,HCL,https://logo.clearbit.com/hcltech.com,DevOps Engineer,Finance,"Azure, Communication, Leadership, Node.js, Java",High School,25-34,0,No,,,High,Ahmedabad,06-06-2025
A1147,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Swiggy,https://logo.clearbit.com/swiggy.com,Sales Executive,E-commerce,"Excel, CSS, Teamwork, Linux, React",High School,18-24,0,Yes,276982,23082,Low,Pune,29-08-2024
A1148,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Dell,https://logo.clearbit.com/dell.com,Sales Executive,Healthcare,"Git, React, Leadership, Linux",Bachelor's Degree,18-24,1,No,,,High,Ahmedabad,18-03-2024
A1149,Employed,Indeed,https://logo.clearbit.com/indeed.com,Zomato,https://logo.clearbit.com/zomato.com,Mobile App Developer,Finance,"Linux, Communication, React, SEO, Java",High School,18-24,6,No,,,Low,Gurugram,25-04-2025
A1150,Intern,Internshala,https://logo.clearbit.com/internshala.com,Dell,https://logo.clearbit.com/dell.com,Software Engineer,Healthcare,"Machine Learning, Java, Kubernetes, SEO, SQL",PhD,25-34,4,No,,,High,Ahmedabad,28-02-2024
A1151,Employed,Internshala,https://logo.clearbit.com/internshala.com,Wipro,https://logo.clearbit.com/wipro.com,Frontend Developer,Human Resources,"SEO, Problem Solving, Data Visualization, CSS, SQL, Teamwork",High School,55+,2,No,,,Moderate,Kolkata,08-08-2025
A1152,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Byjus,https://logo.clearbit.com/byjus.com,Finance Analyst,Marketing,"SQL, SEO, JavaScript, Presentation",Bachelor's Degree,25-34,0,No,,,Low,Chennai,17-12-2024
A1153,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Flipkart,https://logo.clearbit.com/flipkart.com,Software Engineer,Information Technology,"HTML, SEO, Machine Learning, Git",Master's Degree,35-44,4,No,,,Low,Gurugram,11-06-2024
A1154,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,IBM,https://logo.clearbit.com/ibm.com,Data Scientist,Human Resources,"Leadership, Communication, C++, Git, SQL, Linux",High School,18-24,0,No,,,Low,Mumbai,08-12-2024
A1155,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Google,https://logo.clearbit.com/google.com,Data Scientist,Information Technology,"Docker, CSS, C++, Git, React",High School,35-44,0,No,,,Moderate,Pune,07-12-2024
A1156,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Amazon,https://logo.clearbit.com/amazon.com,Business Analyst,Human Resources,"Linux, HTML, C++, Tableau, React",PhD,18-24,0,No,,,High,Noida,01-09-2025
A1157,Employed,Internshala,https://logo.clearbit.com/internshala.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Data Scientist,Healthcare,"Teamwork, React, C++, HTML, CSS",Bachelor's Degree,35-44,0,No,,,Moderate,Ahmedabad,23-06-2025
A1158,Intern,Indeed,https://logo.clearbit.com/indeed.com,Swiggy,https://logo.clearbit.com/swiggy.com,Business Analyst,Education,"Excel, Kubernetes, Node.js",High School,45-54,4,Yes,677093,56424,Low,Bangalore,07-08-2024
A1159,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Microsoft,https://logo.clearbit.com/microsoft.com,HR Executive,Finance,"React, Java, Kubernetes, Presentation",PhD,45-54,7,No,,,Moderate,Chennai,13-04-2024
A1160,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Swiggy,https://logo.clearbit.com/swiggy.com,Software Engineer,Manufacturing,"Leadership, Git, React, Tableau, Node.js",Bachelor's Degree,18-24,8,No,,,Moderate,Delhi,04-07-2024
A1161,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Zomato,https://logo.clearbit.com/zomato.com,Software Engineer,Healthcare,"Excel, C++, CSS, Azure, SEO, Git",Diploma,35-44,6,Yes,721786,60149,High,Ahmedabad,18-10-2024
A1162,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,HR Executive,Healthcare,"Presentation, Digital Marketing, Teamwork, AWS, Excel",Bachelor's Degree,25-34,6,No,,,High,Bangalore,07-08-2025
A1163,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,IBM,https://logo.clearbit.com/ibm.com,Data Scientist,Information Technology,"Node.js, AWS, Git, React, Docker, SQL",Diploma,55+,4,Yes,1071830,89319,Low,Delhi,07-05-2025
A1164,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Google,https://logo.clearbit.com/google.com,Backend Developer,Information Technology,"Java, Leadership, Node.js, Docker, SEO",Diploma,25-34,1,No,,,Moderate,Pune,09-06-2025
A1165,Employed,Indeed,https://logo.clearbit.com/indeed.com,Wipro,https://logo.clearbit.com/wipro.com,HR Executive,E-commerce,"Excel, Python, Power BI, SQL, Tableau, Machine Learning",Bachelor's Degree,25-34,2,No,,,High,Gurugram,17-01-2025
A1166,Intern,Indeed,https://logo.clearbit.com/indeed.com,Wipro,https://logo.clearbit.com/wipro.com,Business Analyst,Information Technology,"Python, Communication, JavaScript, Teamwork",Bachelor's Degree,55+,1,No,,,Low,Delhi,09-12-2024
A1167,Employed,Naukri,https://logo.clearbit.com/naukri.com,TCS,https://logo.clearbit.com/tcs.com,DevOps Engineer,E-commerce,"HTML, React, Leadership, Teamwork, Digital Marketing, SEO",PhD,55+,0,Yes,916338,76362,Low,Pune,22-09-2025
A1168,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Infosys,https://logo.clearbit.com/infosys.com,Product Manager,Information Technology,"Teamwork, React, Data Visualization, CSS",Bachelor's Degree,35-44,7,Yes,1589786,132482,Low,Delhi,15-09-2025
A1169,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Google,https://logo.clearbit.com/google.com,DevOps Engineer,Education,"Kubernetes, JavaScript, SQL, Azure",Master's Degree,55+,8,No,,,High,Bangalore,05-03-2025
A1170,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Wipro,https://logo.clearbit.com/wipro.com,Backend Developer,Finance,"Git, Data Visualization, Python, Linux, Machine Learning, Problem Solving",High School,45-54,1,No,,,High,Chennai,04-09-2024
A1171,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Adobe,https://logo.clearbit.com/adobe.com,Data Analyst,Human Resources,"Azure, Problem Solving, Power BI, Node.js, C++",Bachelor's Degree,55+,7,No,,,High,Pune,28-03-2024
A1172,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Wipro,https://logo.clearbit.com/wipro.com,Data Analyst,Healthcare,"Digital Marketing, SQL, Linux, Tableau, Excel, Docker",Diploma,25-34,4,No,,,Low,Kolkata,17-01-2024
A1173,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Ola,https://logo.clearbit.com/olacabs.com,HR Executive,Marketing,"Leadership, Problem Solving, CSS",Diploma,18-24,1,No,,,High,Pune,06-12-2024
A1174,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Ola,https://logo.clearbit.com/olacabs.com,Quality Analyst,Human Resources,"Teamwork, Leadership, C++, SEO",Bachelor's Degree,45-54,1,Yes,468686,39057,High,Bangalore,05-05-2025
A1175,Intern,Naukri,https://logo.clearbit.com/naukri.com,Wipro,https://logo.clearbit.com/wipro.com,Mobile App Developer,Finance,"Kubernetes, AWS, SQL",High School,55+,0,No,,,High,Chennai,23-07-2024
A1176,Employed,Internshala,https://logo.clearbit.com/internshala.com,IBM,https://logo.clearbit.com/ibm.com,Data Scientist,Information Technology,"Docker, SQL, Leadership, Linux, AWS, Kubernetes",High School,55+,0,Yes,1086090,90508,High,Chennai,31-12-2024
A1177,Intern,Internshala,https://logo.clearbit.com/internshala.com,Dell,https://logo.clearbit.com/dell.com,Backend Developer,Marketing,"Power BI, Tableau, CSS, SEO, Communication",PhD,18-24,6,No,,,Moderate,Noida,10-07-2024
A1178,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Ola,https://logo.clearbit.com/olacabs.com,Product Manager,Healthcare,"CSS, Power BI, Java",PhD,35-44,8,No,,,Moderate,Mumbai,16-03-2025
A1179,Intern,Naukri,https://logo.clearbit.com/naukri.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,DevOps Engineer,Information Technology,"JavaScript, Java, Communication, C++, Kubernetes",PhD,25-34,6,No,,,Low,Noida,09-11-2024
A1180,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Adobe,https://logo.clearbit.com/adobe.com,Marketing Intern,Healthcare,"Excel, SEO, SQL, CSS, Teamwork, Git",High School,18-24,3,No,,,Low,Hyderabad,21-03-2025
A1181,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,Wipro,https://logo.clearbit.com/wipro.com,Data Scientist,Information Technology,"Machine Learning, Presentation, CSS, C++, Node.js",Diploma,35-44,1,No,,,High,Delhi,01-02-2024
A1182,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zomato,https://logo.clearbit.com/zomato.com,Software Engineer,Human Resources,"Java, Azure, Leadership, Linux",PhD,25-34,4,No,,,Low,Mumbai,10-01-2025
A1183,Intern,Indeed,https://logo.clearbit.com/indeed.com,LTI,https://logo.clearbit.com/lntinfotech.com,Software Engineer,Marketing,"C++, SEO, Excel, Leadership",Bachelor's Degree,55+,8,No,,,Moderate,Ahmedabad,19-03-2024
A1184,Intern,Naukri,https://logo.clearbit.com/naukri.com,Swiggy,https://logo.clearbit.com/swiggy.com,Business Analyst,Information Technology,"Communication, Linux, Docker, Azure, JavaScript, Python",PhD,35-44,6,Yes,842878,70240,Moderate,Delhi,09-07-2024
A1185,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,HCL,https://logo.clearbit.com/hcltech.com,Backend Developer,Marketing,"Leadership, Docker, HTML, SEO, AWS",Bachelor's Degree,18-24,3,No,,,High,Noida,18-09-2025
A1186,Employed,Indeed,https://logo.clearbit.com/indeed.com,Microsoft,https://logo.clearbit.com/microsoft.com,Backend Developer,Information Technology,"Java, SEO, Node.js, HTML",Bachelor's Degree,45-54,0,Yes,636820,53068,High,Pune,31-03-2025
A1187,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Ola,https://logo.clearbit.com/olacabs.com,Frontend Developer,Manufacturing,"Kubernetes, Node.js, HTML, Linux, Presentation",Diploma,18-24,7,Yes,842822,70235,Moderate,Pune,05-01-2025
A1188,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Google,https://logo.clearbit.com/google.com,Sales Executive,Finance,"Azure, Presentation, Digital Marketing, Python",Bachelor's Degree,18-24,7,No,,,High,Chennai,04-01-2025
A1189,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Ola,https://logo.clearbit.com/olacabs.com,Mobile App Developer,Healthcare,"Git, Java, Kubernetes, Tableau",PhD,45-54,7,No,,,High,Chennai,05-05-2025
A1190,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Adobe,https://logo.clearbit.com/adobe.com,Frontend Developer,Marketing,"Communication, Linux, Java, SEO",Diploma,35-44,7,No,,,Low,Pune,22-04-2025
A1191,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Amazon,https://logo.clearbit.com/amazon.com,Marketing Intern,Finance,"Power BI, Machine Learning, SQL, Teamwork",Diploma,35-44,7,Yes,12226,1019,Moderate,Mumbai,07-05-2024
A1192,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,Marketing Intern,Finance,"Communication, HTML, Azure, Excel",High School,18-24,3,No,,,Low,Noida,15-06-2025
A1193,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Dell,https://logo.clearbit.com/dell.com,Sales Executive,Finance,"React, Linux, Kubernetes, Git, Data Visualization",Bachelor's Degree,18-24,7,No,,,Low,Ahmedabad,05-04-2024
A1194,Intern,Naukri,https://logo.clearbit.com/naukri.com,LTI,https://logo.clearbit.com/lntinfotech.com,Machine Learning Engineer,Healthcare,"C++, Git, CSS, Communication",PhD,35-44,0,No,,,Low,Pune,31-07-2025
A1195,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Wipro,https://logo.clearbit.com/wipro.com,Software Engineer,Human Resources,"Linux, AWS, Leadership, Problem Solving, Power BI",Bachelor's Degree,45-54,0,No,,,Low,Delhi,24-09-2025
A1196,Intern,Indeed,https://logo.clearbit.com/indeed.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,DevOps Engineer,Finance,"Digital Marketing, Azure, Presentation, C++, Tableau",PhD,25-34,6,No,,,Low,Bangalore,31-10-2024
A1197,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,TCS,https://logo.clearbit.com/tcs.com,Marketing Intern,Human Resources,"Power BI, Digital Marketing, SEO, AWS, Communication, Git",Master's Degree,45-54,4,No,,,Moderate,Delhi,27-05-2024
A1198,Intern,Internshala,https://logo.clearbit.com/internshala.com,Ola,https://logo.clearbit.com/olacabs.com,Data Scientist,Education,"Leadership, Excel, Machine Learning, Data Visualization",High School,55+,4,No,,,Moderate,Noida,18-04-2024
A1199,Intern,Naukri,https://logo.clearbit.com/naukri.com,Zomato,https://logo.clearbit.com/zomato.com,Backend Developer,E-commerce,"SEO, Azure, React, JavaScript, SQL",Diploma,18-24,5,No,,,Moderate,Chennai,24-10-2024
A1200,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Adobe,https://logo.clearbit.com/adobe.com,HR Executive,Education,"Teamwork, Communication, Problem Solving, CSS",High School,35-44,2,Yes,400092,33341,Moderate,Pune,16-11-2024
A1201,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Paytm,https://logo.clearbit.com/paytm.com,Mobile App Developer,E-commerce,"Kubernetes, Digital Marketing, Python, Java, Tableau, Machine Learning",Master's Degree,45-54,2,No,,,High,Gurugram,13-04-2025
A1202,Employed,Naukri,https://logo.clearbit.com/naukri.com,LTI,https://logo.clearbit.com/lntinfotech.com,Business Analyst,Finance,"SQL, Kubernetes, Digital Marketing",High School,55+,6,No,,,Low,Kolkata,03-09-2025
A1203,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Data Analyst,Marketing,"Power BI, React, Docker",High School,55+,5,No,,,Moderate,Pune,09-01-2025
A1204,Unemployed,Internshala,https://logo.clearbit.com/internshala.com,TCS,https://logo.clearbit.com/tcs.com,Data Scientist,E-commerce,"Problem Solving, Data Visualization, AWS",Master's Degree,18-24,7,Yes,1351436,112620,High,Delhi,06-01-2025
A1205,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Wipro,https://logo.clearbit.com/wipro.com,Data Scientist,Human Resources,"Leadership, Data Visualization, Docker, Git, C++, CSS",High School,25-34,1,No,,,Moderate,Mumbai,01-05-2024
A1206,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,HCL,https://logo.clearbit.com/hcltech.com,Business Analyst,Information Technology,"Data Visualization, Excel, Leadership, React, AWS",High School,25-34,7,Yes,833961,69497,High,Hyderabad,08-09-2025
A1207,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Swiggy,https://logo.clearbit.com/swiggy.com,Software Engineer,Marketing,"SQL, React, HTML",Master's Degree,55+,6,No,,,Low,Delhi,07-12-2024
A1208,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zomato,https://logo.clearbit.com/zomato.com,Machine Learning Engineer,E-commerce,"Communication, Git, Node.js, Tableau",Master's Degree,45-54,3,No,,,Moderate,Noida,23-09-2025
A1209,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zoho,https://logo.clearbit.com/zoho.com,Finance Analyst,Finance,"Digital Marketing, Teamwork, Python, Excel, Communication",Diploma,55+,5,No,,,High,Hyderabad,22-04-2024
A1210,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,IBM,https://logo.clearbit.com/ibm.com,Data Analyst,Finance,"Docker, Linux, Leadership, Problem Solving, CSS, Azure",PhD,18-24,8,No,,,Moderate,Hyderabad,22-02-2024
A1211,Employed,Indeed,https://logo.clearbit.com/indeed.com,Flipkart,https://logo.clearbit.com/flipkart.com,Data Scientist,Manufacturing,"Teamwork, C++, Azure, SQL",PhD,18-24,0,No,,,Moderate,Noida,09-08-2025
A1212,Employed,Naukri,https://logo.clearbit.com/naukri.com,Infosys,https://logo.clearbit.com/infosys.com,Mobile App Developer,Marketing,"Power BI, React, HTML, AWS, Machine Learning",Master's Degree,25-34,6,No,,,High,Ahmedabad,18-09-2025
A1213,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Amazon,https://logo.clearbit.com/amazon.com,Sales Executive,Education,"C++, Digital Marketing, Machine Learning, Tableau, Communication",PhD,55+,6,No,,,Low,Noida,26-06-2024
A1214,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zoho,https://logo.clearbit.com/zoho.com,Business Analyst,Marketing,"Git, Digital Marketing, AWS, Azure, Docker",Bachelor's Degree,35-44,3,No,,,Moderate,Noida,25-07-2025
A1215,Employed,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,DevOps Engineer,E-commerce,"HTML, Digital Marketing, Communication, Excel",Bachelor's Degree,35-44,3,No,,,Low,Noida,27-07-2025
A1216,Intern,Internshala,https://logo.clearbit.com/internshala.com,Google,https://logo.clearbit.com/google.com,Data Scientist,Marketing,"Teamwork, Excel, Leadership, React, Kubernetes, SQL",Bachelor's Degree,45-54,0,No,,,Moderate,Mumbai,21-10-2024
A1217,Employed,Internshala,https://logo.clearbit.com/internshala.com,Zomato,https://logo.clearbit.com/zomato.com,Product Manager,Healthcare,"AWS, Teamwork, Data Visualization, Docker, Leadership, CSS",Diploma,45-54,0,No,,,Moderate,Kolkata,20-05-2024
A1218,Employed,Glassdoor,https://logo.clearbit.com/glassdoor.com,LTI,https://logo.clearbit.com/lntinfotech.com,HR Executive,Human Resources,"SQL, C++, Machine Learning, Azure",PhD,25-34,0,No,,,High,Gurugram,26-08-2024
A1219,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Adobe,https://logo.clearbit.com/adobe.com,Quality Analyst,Information Technology,"JavaScript, C++, Leadership, React, Python, Data Visualization",High School,18-24,5,No,,,Moderate,Mumbai,10-06-2024
A1220,Unemployed,Indeed,https://logo.clearbit.com/indeed.com,Paytm,https://logo.clearbit.com/paytm.com,Sales Executive,Marketing,"Communication, Kubernetes, Linux, SQL, Leadership",Master's Degree,35-44,8,No,,,Moderate,Mumbai,01-04-2024
A1221,Employed,Naukri,https://logo.clearbit.com/naukri.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Software Engineer,Finance,"Power BI, Teamwork, Node.js, SQL",PhD,35-44,6,No,,,Low,Delhi,10-02-2025
